Recency,Frequency,Monetary,Cluster,Segment
53,2,5.684341886080802e-14,3,At Risk
73,6,2466.86,3,At Risk
44,4,3153.89,3,At Risk
58,12,1917.78,3,At Risk
71,2,947.4,3,At Risk
94,2,826.88,3,At Risk
2,4,1124.01,3,At Risk
46,7,1303.63,3,At Risk
10,8,1212.05,3,At Risk
8,3,733.89,3,At Risk
143,3,724.0400000000001,3,At Risk
2,49,18740.92,0,High Value
31,13,6229.48,3,At Risk
29,9,2848.23,3,At Risk
17,30,7116.47,0,High Value
54,1,723.38,3,At Risk
1,20,6546.58,0,High Value
23,9,13117.01,3,At Risk
4,1,680.99,3,At Risk
4,3,477.3,3,At Risk
28,4,3281.63,3,At Risk
23,11,5590.86,3,At Risk
17,13,2327.13,3,At Risk
33,8,4495.27,3,At Risk
10,3,1298.66,3,At Risk
336,1,334.93,1,Regular
5,10,5417.93,3,At Risk
39,1,460.40000000000003,3,At Risk
63,2,263.21000000000004,3,At Risk
166,3,416.79,1,Regular
10,13,1139.3500000000001,3,At Risk
82,1,1043.1,3,At Risk
21,3,403.70000000000005,3,At Risk
23,13,4206.27,3,At Risk
315,2,2089.68,1,Regular
96,5,3723.87,3,At Risk
338,1,-1126.0,1,Regular
18,4,114.0,3,At Risk
301,1,-4.5,1,Regular
233,1,73.5,1,Regular
134,4,1258.06,3,At Risk
26,2,398.27,3,At Risk
284,1,176.5,1,Regular
143,2,982.5699999999999,3,At Risk
66,2,138.03,3,At Risk
85,2,586.79,3,At Risk
267,1,1017.68,1,Regular
353,1,383.7,1,Regular
78,2,1312.06,3,At Risk
28,6,2464.89,3,At Risk
1,5,2056.89,3,At Risk
64,1,340.84,3,At Risk
79,6,2582.51,3,At Risk
143,1,599.68,1,Regular
39,2,192.72,3,At Risk
2,13,1745.57,3,At Risk
9,8,4485.72,3,At Risk
1,3,1316.66,3,At Risk
82,3,348.71000000000004,3,At Risk
9,8,1922.28,3,At Risk
60,5,1623.63,3,At Risk
15,1,125.22,3,At Risk
30,1,349.83000000000004,3,At Risk
131,1,1089.18,3,At Risk
92,2,716.35,3,At Risk
8,5,4106.82,3,At Risk
29,1,363.95,3,At Risk
22,5,3852.5,3,At Risk
20,19,13309.039999999999,0,High Value
30,3,981.18,3,At Risk
30,2,355.7,3,At Risk
75,2,1000.39,3,At Risk
47,3,1141.5,3,At Risk
198,2,207.79999999999998,1,Regular
166,1,95.19999999999999,1,Regular
79,1,964.83,3,At Risk
358,1,168.0,1,Regular
39,2,437.82,3,At Risk
8,14,3652.25,3,At Risk
50,2,603.71,3,At Risk
16,5,11990.960000000001,3,At Risk
2,2,1.0658141036401503e-14,3,At Risk
311,3,536.21,1,Regular
5,4,2101.39,3,At Risk
303,1,238.85,1,Regular
8,7,3781.7400000000002,3,At Risk
261,1,456.9,1,Regular
282,2,131.17,1,Regular
73,2,346.7,3,At Risk
23,11,9114.94,3,At Risk
2,35,4064.9900000000002,0,High Value
40,2,519.61,3,At Risk
9,3,1004.72,3,At Risk
227,1,160.54000000000002,1,Regular
316,1,218.45,1,Regular
36,6,1306.98,3,At Risk
35,4,595.4,3,At Risk
21,4,2753.36,3,At Risk
73,3,410.72,3,At Risk
247,1,415.7,1,Regular
40,1,197.71,3,At Risk
239,2,511.36,1,Regular
3,18,7187.34,0,High Value
4,18,1893.95,3,At Risk
234,4,1982.81,1,Regular
17,2,179.94000000000003,3,At Risk
8,1,144.0,3,At Risk
39,1,214.89999999999998,3,At Risk
29,2,646.68,3,At Risk
190,3,9861.38,1,Regular
317,1,452.84999999999997,1,Regular
92,2,437.6,3,At Risk
109,3,418.09999999999997,3,At Risk
38,11,3320.2200000000003,3,At Risk
51,2,618.27,3,At Risk
19,5,3683.13,3,At Risk
10,9,3002.68,3,At Risk
29,7,1032.58,3,At Risk
29,11,2581.04,3,At Risk
190,6,569.5600000000001,1,Regular
59,1,153.12,3,At Risk
22,1,739.1999999999999,3,At Risk
79,2,254.18,3,At Risk
365,1,-7.5,1,Regular
58,2,3.552713678800501e-15,3,At Risk
78,3,1126.85,3,At Risk
23,7,2057.99,3,At Risk
52,1,1193.32,3,At Risk
58,2,643.59,3,At Risk
31,6,3218.98,3,At Risk
278,1,315.6,1,Regular
2,4,2291.19,3,At Risk
85,5,657.25,3,At Risk
29,1,355.53,3,At Risk
22,1,177.31,3,At Risk
16,13,3214.81,3,At Risk
15,3,1339.41,3,At Risk
2,23,13612.07,0,High Value
232,1,180.1,1,Regular
276,1,305.1,1,Regular
106,2,641.13,3,At Risk
212,3,2614.32,1,Regular
23,13,6388.35,3,At Risk
11,7,4478.53,3,At Risk
4,4,769.61,3,At Risk
10,2,1270.88,3,At Risk
57,1,640.5,3,At Risk
59,5,2140.63,3,At Risk
90,2,1689.18,3,At Risk
67,10,5953.25,3,At Risk
33,1,671.69,3,At Risk
239,1,486.1,1,Regular
24,3,1174.58,3,At Risk
115,1,185.9,3,At Risk
25,3,1013.26,3,At Risk
128,6,3344.64,3,At Risk
130,1,477.91,3,At Risk
34,5,1755.38,3,At Risk
5,2,1346.97,3,At Risk
22,13,3669.92,3,At Risk
155,1,318.05,1,Regular
107,4,603.71,3,At Risk
3,1,314.44,3,At Risk
335,1,114.0,1,Regular
322,2,914.53,1,Regular
149,2,2209.85,1,Regular
11,5,601.98,3,At Risk
17,8,3982.72,3,At Risk
11,5,1152.06,3,At Risk
19,1,686.05,3,At Risk
30,1,91.68,3,At Risk
11,1,245.1,3,At Risk
1,12,3817.08,3,At Risk
8,10,4863.88,3,At Risk
325,2,61.75,1,Regular
359,1,-227.44,1,Regular
58,1,620.13,3,At Risk
7,6,3743.18,3,At Risk
151,4,1607.73,1,Regular
10,6,2986.15,3,At Risk
330,1,225.89999999999998,1,Regular
5,2,610.52,3,At Risk
12,7,1919.31,3,At Risk
25,6,1331.39,3,At Risk
42,13,17588.26,0,High Value
52,9,1058.67,3,At Risk
1,4,862.81,3,At Risk
15,27,13677.59,0,High Value
4,31,12288.22,0,High Value
4,20,8221.09,0,High Value
8,7,2283.63,3,At Risk
28,6,2863.08,3,At Risk
372,1,89.14,1,Regular
114,1,4873.8099999999995,3,At Risk
26,2,1247.61,3,At Risk
206,1,389.01,1,Regular
28,6,1035.8,3,At Risk
121,6,830.96,3,At Risk
70,2,869.67,3,At Risk
7,4,582.1,3,At Risk
21,5,939.02,3,At Risk
8,6,4867.99,3,At Risk
80,2,797.71,3,At Risk
20,1,219.0,3,At Risk
64,2,274.7,3,At Risk
7,10,2220.84,3,At Risk
15,14,6814.24,3,At Risk
292,1,603.42,1,Regular
30,16,2616.32,3,At Risk
3,26,9294.1,0,High Value
97,4,1130.57,3,At Risk
23,17,4241.63,3,At Risk
1,1,848.55,3,At Risk
9,5,4708.86,3,At Risk
106,1,353.86,3,At Risk
4,2,1053.49,3,At Risk
151,3,980.98,1,Regular
71,1,238.25,3,At Risk
5,3,608.1,3,At Risk
3,29,5713.28,0,High Value
32,7,2628.98,3,At Risk
85,6,904.33,3,At Risk
4,5,725.07,3,At Risk
5,4,1031.41,3,At Risk
371,1,427.8,1,Regular
28,7,2609.1,3,At Risk
11,9,3947.7,3,At Risk
71,4,836.33,3,At Risk
114,1,453.01,3,At Risk
24,14,18793.41,0,High Value
180,1,236.26000000000002,1,Regular
234,1,383.95,1,Regular
353,1,110.39999999999999,1,Regular
315,2,779.5699999999999,1,Regular
333,1,234.0,1,Regular
372,1,155.35,1,Regular
78,2,1013.04,3,At Risk
64,1,427.6,3,At Risk
134,2,546.43,3,At Risk
52,10,9120.39,3,At Risk
2,11,4196.01,3,At Risk
1,224,29072.1,2,Occasional
4,8,3868.2,3,At Risk
129,1,275.88,3,At Risk
81,1,4366.78,3,At Risk
4,11,21024.01,0,High Value
236,5,2949.12,1,Regular
250,4,2203.2,1,Regular
87,1,112.07999999999998,3,At Risk
16,19,4227.7,0,High Value
117,2,2791.59,3,At Risk
52,3,1531.44,3,At Risk
8,2,1898.52,3,At Risk
138,2,494.08,3,At Risk
317,1,1693.88,1,Regular
4,7,6989.63,3,At Risk
239,1,1143.6,1,Regular
211,1,1351.45,1,Regular
60,1,892.47,3,At Risk
17,6,1351.24,3,At Risk
20,7,804.23,3,At Risk
21,12,3868.7,3,At Risk
21,5,707.72,3,At Risk
5,6,2273.32,3,At Risk
2,8,1603.87,3,At Risk
9,2,574.42,3,At Risk
3,2,305.71,3,At Risk
10,3,463.66,3,At Risk
65,1,91.85,3,At Risk
192,1,324.92,1,Regular
374,1,192.60000000000002,1,Regular
257,1,400.53999999999996,1,Regular
335,2,545.48,1,Regular
53,2,860.41,3,At Risk
19,1,430.48,3,At Risk
360,3,194.18,1,Regular
10,3,6977.04,3,At Risk
184,2,412.58,1,Regular
37,3,483.65000000000003,3,At Risk
168,2,484.36,1,Regular
261,3,514.85,1,Regular
45,1,229.64000000000001,3,At Risk
102,1,125.92,3,At Risk
148,2,1063.46,1,Regular
96,2,572.2,3,At Risk
281,1,166.04,1,Regular
178,2,1517.88,1,Regular
3,4,942.34,3,At Risk
214,1,92.72,1,Regular
71,3,918.98,3,At Risk
75,5,1759.5,3,At Risk
60,1,397.12,3,At Risk
3,8,1468.1200000000001,3,At Risk
6,3,430.15000000000003,3,At Risk
3,6,1018.71,3,At Risk
322,3,253.05,1,Regular
38,7,6748.4,3,At Risk
262,1,215.05,1,Regular
32,2,383.03,3,At Risk
145,1,417.38,1,Regular
283,1,312.38,1,Regular
59,4,2612.86,3,At Risk
173,1,134.1,1,Regular
34,2,683.13,3,At Risk
3,16,5583.62,3,At Risk
144,6,2714.27,3,At Risk
5,26,3876.4,0,High Value
70,2,1118.99,3,At Risk
66,9,1680.76,3,At Risk
29,2,325.96000000000004,3,At Risk
267,4,354.09,1,Regular
22,1,871.54,3,At Risk
31,2,1050.8899999999999,3,At Risk
97,1,135.18,3,At Risk
290,2,299.75,1,Regular
108,9,1881.7,3,At Risk
79,5,1289.15,3,At Risk
373,1,38.1,1,Regular
8,8,2162.68,3,At Risk
211,2,1106.4,1,Regular
52,2,504.2,3,At Risk
138,1,147.12,3,At Risk
26,3,1548.07,3,At Risk
283,1,559.12,1,Regular
26,10,3986.22,3,At Risk
186,6,1607.0600000000002,1,Regular
366,1,-14.899999999999999,1,Regular
84,2,380.64,3,At Risk
327,2,599.97,1,Regular
282,1,374.0,1,Regular
143,2,343.2300000000001,3,At Risk
58,2,2218.02,3,At Risk
4,12,1535.77,3,At Risk
18,3,841.64,3,At Risk
45,4,552.5699999999999,3,At Risk
276,1,298.0,1,Regular
9,2,1463.04,3,At Risk
25,4,703.47,3,At Risk
88,1,309.05,3,At Risk
63,4,1158.27,3,At Risk
68,3,1351.09,3,At Risk
214,4,313.77,1,Regular
24,1,380.46999999999997,3,At Risk
186,3,331.0,1,Regular
31,1,188.14,3,At Risk
42,3,347.3,3,At Risk
205,2,216.5,1,Regular
9,36,16293.1,0,High Value
265,1,138.68,1,Regular
18,2,509.58,3,At Risk
12,5,2919.81,3,At Risk
59,4,246.0,3,At Risk
40,8,2128.83,3,At Risk
23,8,3075.04,3,At Risk
3,5,1662.3,3,At Risk
5,5,2483.63,3,At Risk
149,2,363.65,1,Regular
139,5,2982.35,3,At Risk
128,1,594.0,3,At Risk
8,8,1301.44,3,At Risk
17,1,164.23,3,At Risk
4,50,16389.74,0,High Value
161,1,405.38,1,Regular
64,1,176.97,3,At Risk
88,5,929.95,3,At Risk
5,2,694.05,3,At Risk
35,5,2062.7000000000003,3,At Risk
122,2,105.1,3,At Risk
78,4,409.9,3,At Risk
22,20,33462.81,0,High Value
24,4,606.28,3,At Risk
2,8,2156.45,3,At Risk
17,5,1012.9,3,At Risk
15,4,1504.27,3,At Risk
26,1,114.14,3,At Risk
64,8,11581.8,3,At Risk
46,4,876.29,3,At Risk
131,3,683.9,3,At Risk
301,1,-3.75,1,Regular
36,2,604.51,3,At Risk
288,1,462.95,1,Regular
144,11,1407.29,3,At Risk
16,8,2053.7,3,At Risk
31,10,4143.02,3,At Risk
2,3,1843.0,3,At Risk
9,8,1042.07,3,At Risk
6,5,1382.8400000000001,3,At Risk
10,1,329.85,3,At Risk
1,14,4734.26,3,At Risk
306,1,108.07,1,Regular
4,12,3979.04,3,At Risk
7,2,266.39,3,At Risk
8,9,1841.03,3,At Risk
89,1,771.91,3,At Risk
10,1,160.18,3,At Risk
3,4,1194.75,3,At Risk
112,1,135.95,3,At Risk
7,4,452.24,3,At Risk
4,89,10930.26,0,High Value
198,1,144.8,1,Regular
212,1,738.6,1,Regular
156,1,39.239999999999995,1,Regular
156,12,7092.06,3,At Risk
30,2,372.21999999999997,3,At Risk
240,2,377.2,1,Regular
19,1,97.5,3,At Risk
1,3,1215.6200000000001,3,At Risk
74,3,545.0,3,At Risk
292,1,535.32,1,Regular
3,19,6854.51,0,High Value
31,3,409.5,3,At Risk
23,2,503.76,3,At Risk
23,4,414.76,3,At Risk
4,5,902.22,3,At Risk
78,2,200.72,3,At Risk
22,7,1197.94,3,At Risk
196,3,455.88,1,Regular
107,3,534.85,3,At Risk
4,15,9797.92,0,High Value
318,1,120.94999999999999,1,Regular
106,3,149.05,3,At Risk
12,22,5613.43,0,High Value
174,3,468.95,1,Regular
56,1,81.57,3,At Risk
323,2,178.46999999999997,1,Regular
372,1,50.550000000000004,1,Regular
9,11,1311.6200000000001,3,At Risk
1,15,4786.99,3,At Risk
3,16,3365.43,3,At Risk
53,5,3346.28,3,At Risk
73,3,789.89,3,At Risk
7,1,204.0,3,At Risk
16,29,7272.75,0,High Value
4,12,2584.4,3,At Risk
64,2,689.9,3,At Risk
1,8,936.15,3,At Risk
114,6,6912.0,3,At Risk
23,3,659.68,3,At Risk
31,3,1247.5,3,At Risk
11,2,799.48,3,At Risk
39,3,996.52,3,At Risk
357,1,190.55,1,Regular
55,2,642.77,3,At Risk
58,3,886.63,3,At Risk
138,3,881.07,3,At Risk
80,3,908.46,3,At Risk
9,2,676.99,3,At Risk
254,2,471.57,1,Regular
291,1,560.47,1,Regular
99,1,305.28000000000003,3,At Risk
31,2,629.31,3,At Risk
32,18,3079.1,3,At Risk
14,5,1805.91,3,At Risk
64,2,656.6800000000001,3,At Risk
9,28,5684.61,0,High Value
212,1,348.15000000000003,1,Regular
64,4,1201.96,3,At Risk
25,3,271.40000000000003,3,At Risk
250,1,183.4,1,Regular
254,1,307.53,1,Regular
72,1,248.61,3,At Risk
191,1,346.98,1,Regular
13,4,1119.49,3,At Risk
373,1,205.86,1,Regular
24,3,430.9,3,At Risk
82,1,115.46000000000001,3,At Risk
10,2,344.0,3,At Risk
1,27,3717.82,0,High Value
192,1,228.8,1,Regular
267,1,177.15,1,Regular
130,1,919.61,3,At Risk
1,4,729.27,3,At Risk
1,43,12432.28,0,High Value
4,5,220.10000000000002,3,At Risk
179,1,58.08,1,Regular
1,21,27964.48,0,High Value
126,10,3595.48,3,At Risk
4,2,303.75,3,At Risk
158,3,272.38,1,Regular
3,118,57385.88,2,Occasional
9,18,8689.39,0,High Value
21,2,319.82,3,At Risk
71,6,459.83,3,At Risk
267,13,7741.47,1,Regular
21,16,1708.8600000000001,3,At Risk
71,1,74.39999999999999,3,At Risk
33,14,5893.32,3,At Risk
1,41,28658.88,0,High Value
99,1,207.35999999999999,3,At Risk
234,1,101.19,1,Regular
1,27,6336.29,0,High Value
40,1,243.94,3,At Risk
3,6,1098.48,3,At Risk
129,2,59.5,3,At Risk
44,5,1524.07,3,At Risk
373,1,350.06,1,Regular
3,5,766.84,3,At Risk
31,8,1452.8700000000001,3,At Risk
1,40,10510.0,0,High Value
9,14,2205.63,3,At Risk
117,2,485.19,3,At Risk
22,8,984.91,3,At Risk
20,7,1125.0,3,At Risk
239,1,30.599999999999998,1,Regular
269,2,254.73,1,Regular
94,2,922.39,3,At Risk
90,3,3866.33,3,At Risk
5,10,2056.29,3,At Risk
78,1,259.17,3,At Risk
94,1,64.0,3,At Risk
23,4,1039.3,3,At Risk
262,1,77.3,1,Regular
274,2,109.8,1,Regular
73,7,1740.63,3,At Risk
197,1,3096.0,1,Regular
50,11,2545.38,3,At Risk
11,9,3605.08,3,At Risk
22,6,962.39,3,At Risk
16,8,5055.79,3,At Risk
108,3,423.72,3,At Risk
85,6,2385.8,3,At Risk
19,1,307.09,3,At Risk
333,1,110.95,1,Regular
40,5,614.77,3,At Risk
26,1,228.91,3,At Risk
10,4,712.8000000000001,3,At Risk
29,17,3348.48,3,At Risk
14,4,1676.06,3,At Risk
203,2,1250.3700000000001,1,Regular
6,1,486.22,3,At Risk
144,1,-611.86,1,Regular
33,4,971.76,3,At Risk
49,5,1721.57,3,At Risk
95,4,1201.06,3,At Risk
9,5,1379.75,3,At Risk
22,1,91.8,3,At Risk
313,1,112.75,1,Regular
122,5,1644.99,3,At Risk
46,2,1021.48,3,At Risk
282,2,414.7,1,Regular
19,4,791.33,3,At Risk
36,5,1310.14,3,At Risk
64,2,712.88,3,At Risk
27,1,116.00999999999999,3,At Risk
8,5,426.81,3,At Risk
4,2,353.65,3,At Risk
16,3,2817.03,3,At Risk
46,1,492.84,3,At Risk
65,1,282.45,3,At Risk
26,11,5725.47,3,At Risk
45,1,121.18,3,At Risk
8,9,3957.78,3,At Risk
15,12,1648.79,3,At Risk
268,1,71.4,1,Regular
40,5,1539.69,3,At Risk
337,1,236.02,1,Regular
11,1,114.60000000000001,3,At Risk
19,2,260.68,3,At Risk
95,2,911.94,3,At Risk
61,1,117.88,3,At Risk
136,1,60.7,3,At Risk
11,4,1797.78,3,At Risk
10,8,3384.09,3,At Risk
4,39,9803.96,0,High Value
19,4,870.09,3,At Risk
10,4,869.46,3,At Risk
15,2,250.26000000000002,3,At Risk
59,7,1205.9,3,At Risk
30,11,5820.16,3,At Risk
94,1,353.48,3,At Risk
10,3,1197.42,3,At Risk
9,4,780.58,3,At Risk
57,6,1518.43,3,At Risk
268,1,333.74,1,Regular
122,5,133.62,3,At Risk
127,1,62.63999999999999,3,At Risk
78,4,819.2900000000001,3,At Risk
240,2,847.41,1,Regular
200,2,163.20000000000002,1,Regular
60,3,2150.85,3,At Risk
3,8,6083.04,3,At Risk
273,1,108.21000000000001,1,Regular
202,1,257.7,1,Regular
81,1,358.0,3,At Risk
226,1,160.95,1,Regular
4,15,2763.41,3,At Risk
13,7,1357.6,3,At Risk
74,2,605.12,3,At Risk
212,2,101.17000000000007,1,Regular
25,3,727.27,3,At Risk
11,5,680.83,3,At Risk
262,1,329.56,1,Regular
96,4,663.65,3,At Risk
112,3,270.40000000000003,3,At Risk
203,1,600.07,1,Regular
93,1,121.74000000000001,3,At Risk
51,1,430.5,3,At Risk
18,7,1922.1,3,At Risk
18,4,501.12,3,At Risk
125,2,465.68,3,At Risk
92,3,711.41,3,At Risk
157,2,1030.4,1,Regular
4,3,390.66,3,At Risk
14,1,0.0,3,At Risk
12,3,698.58,3,At Risk
62,1,292.32,3,At Risk
61,1,557.62,3,At Risk
269,2,944.1,1,Regular
263,1,200.29,1,Regular
1,35,7454.07,0,High Value
53,5,2107.66,3,At Risk
11,19,3717.67,0,High Value
3,27,4404.44,0,High Value
18,15,3167.64,3,At Risk
1,17,5315.92,0,High Value
366,1,590.0,1,Regular
37,2,178.26,3,At Risk
31,2,276.56,3,At Risk
113,1,138.98,3,At Risk
64,2,590.9300000000001,3,At Risk
16,4,258.4,3,At Risk
41,1,542.73,3,At Risk
64,2,126.30000000000001,3,At Risk
122,3,814.86,3,At Risk
18,6,1047.8400000000001,3,At Risk
60,2,93.66,3,At Risk
323,2,196.15,1,Regular
23,4,2709.12,3,At Risk
156,1,361.11,1,Regular
39,2,578.9399999999999,3,At Risk
190,2,873.74,1,Regular
360,2,197.95000000000002,1,Regular
137,1,87.4,3,At Risk
8,4,2089.85,3,At Risk
1,1,360.0,3,At Risk
268,1,142.5,1,Regular
165,2,365.29,1,Regular
104,4,618.09,3,At Risk
155,1,63.75,1,Regular
351,1,300.42,1,Regular
4,10,2000.86,3,At Risk
120,1,15.0,3,At Risk
23,4,1367.6100000000001,3,At Risk
7,5,1456.79,3,At Risk
9,6,1083.63,3,At Risk
4,2,598.57,3,At Risk
22,5,1555.32,3,At Risk
2,4,578.66,3,At Risk
37,5,5815.49,3,At Risk
64,9,2140.07,3,At Risk
1,3,640.76,3,At Risk
5,36,10664.34,0,High Value
70,6,1491.7,3,At Risk
72,2,567.36,3,At Risk
17,1,199.48000000000002,3,At Risk
3,5,787.85,3,At Risk
32,12,7072.8,3,At Risk
82,1,675.3,3,At Risk
39,9,3617.57,3,At Risk
316,1,1308.48,1,Regular
32,4,740.4,3,At Risk
93,3,1140.93,3,At Risk
14,1,350.9,3,At Risk
82,3,3536.82,3,At Risk
77,1,795.12,3,At Risk
154,3,431.82,1,Regular
201,1,860.12,1,Regular
45,7,10736.48,3,At Risk
261,1,775.85,1,Regular
173,2,303.93,1,Regular
68,3,2543.72,3,At Risk
277,2,377.6,1,Regular
70,1,341.36,3,At Risk
64,1,233.76,3,At Risk
11,1,247.32,3,At Risk
16,3,910.72,3,At Risk
66,1,373.94,3,At Risk
8,2,389.28,3,At Risk
71,1,743.53,3,At Risk
122,1,674.7,3,At Risk
80,1,768.24,3,At Risk
257,1,609.95,1,Regular
269,1,439.03,1,Regular
59,2,431.26,3,At Risk
3,5,3085.4900000000002,3,At Risk
18,2,992.5,3,At Risk
67,2,0.0,3,At Risk
9,3,2191.22,3,At Risk
50,1,56.160000000000004,3,At Risk
257,2,623.4,1,Regular
354,2,263.75,1,Regular
366,2,721.32,1,Regular
90,1,378.64,3,At Risk
61,3,3312.25,3,At Risk
81,2,772.9,3,At Risk
99,3,1019.76,3,At Risk
26,3,572.56,3,At Risk
21,7,3626.81,3,At Risk
281,1,222.99,1,Regular
31,9,4122.28,3,At Risk
330,1,534.57,1,Regular
121,3,627.15,3,At Risk
11,3,797.96,3,At Risk
75,1,544.08,3,At Risk
204,1,59.8,1,Regular
2,10,2312.8,3,At Risk
185,1,307.72,1,Regular
22,4,1325.29,3,At Risk
73,6,1539.18,3,At Risk
192,1,457.34,1,Regular
127,2,621.23,3,At Risk
18,1,75.0,3,At Risk
1,2,252.49,3,At Risk
74,3,572.451,3,At Risk
2,81,27487.41,0,High Value
9,7,988.91,3,At Risk
107,1,213.55,3,At Risk
134,3,1390.5,3,At Risk
44,2,712.5,3,At Risk
5,2,640.83,3,At Risk
12,23,5845.44,0,High Value
64,1,221.06,3,At Risk
135,4,140.35,3,At Risk
40,3,1848.98,3,At Risk
51,2,2601.55,3,At Risk
108,3,1624.21,3,At Risk
1,12,3550.7000000000003,3,At Risk
19,3,582.6,3,At Risk
10,1,218.47,3,At Risk
11,4,1006.8,3,At Risk
19,4,648.6899999999999,3,At Risk
67,2,1269.1,3,At Risk
74,2,534.24,3,At Risk
5,9,3794.4900000000002,3,At Risk
2,1,196.89,3,At Risk
14,7,3408.06,3,At Risk
255,1,283.71,1,Regular
92,1,296.64,3,At Risk
23,4,1104.23,3,At Risk
17,10,3465.67,3,At Risk
24,1,291.88,3,At Risk
27,6,2043.7199999999998,3,At Risk
26,6,2916.45,3,At Risk
259,2,590.0,1,Regular
166,2,356.97999999999996,1,Regular
25,4,1007.35,3,At Risk
18,7,1737.8200000000002,3,At Risk
7,22,9537.92,0,High Value
29,2,183.44,3,At Risk
39,3,1445.0,3,At Risk
183,2,143.25,1,Regular
58,1,674.68,3,At Risk
100,2,297.95,3,At Risk
11,2,1083.71,3,At Risk
2,41,5656.75,0,High Value
99,2,165.0,3,At Risk
1,4,2531.58,3,At Risk
61,3,417.54,3,At Risk
236,1,229.59,1,Regular
191,4,1431.78,1,Regular
179,4,1092.77,1,Regular
38,8,1441.53,3,At Risk
198,3,291.0,1,Regular
46,8,1776.81,3,At Risk
232,1,184.64,1,Regular
66,1,140.34,3,At Risk
241,1,313.8,1,Regular
233,1,454.24,1,Regular
78,3,1122.41,3,At Risk
58,3,575.4,3,At Risk
17,17,8910.61,0,High Value
105,4,449.52,3,At Risk
52,10,1215.82,3,At Risk
136,3,1269.84,3,At Risk
275,2,618.63,1,Regular
312,1,316.26000000000005,1,Regular
8,6,1990.1200000000001,3,At Risk
11,3,617.93,3,At Risk
283,3,321.05,1,Regular
18,7,1146.96,3,At Risk
23,4,1136.77,3,At Risk
243,2,1310.47,1,Regular
17,3,292.0,3,At Risk
71,1,216.85,3,At Risk
64,1,295.93,3,At Risk
68,8,4282.88,3,At Risk
312,3,452.82,1,Regular
3,4,2479.16,3,At Risk
244,1,110.97,1,Regular
9,7,979.72,3,At Risk
1,5,1785.16,3,At Risk
261,1,251.21,1,Regular
127,1,205.1,3,At Risk
74,1,152.20000000000002,3,At Risk
73,4,891.12,3,At Risk
21,3,1389.41,3,At Risk
60,5,2109.07,3,At Risk
86,1,659.4399999999999,3,At Risk
50,2,110.80000000000001,3,At Risk
59,8,3487.75,3,At Risk
1,3,1093.65,3,At Risk
30,1,125.80000000000001,3,At Risk
33,6,3755.38,3,At Risk
